Date,Gas_Stocks,Storage_Cap,Min_Target,High,Low
2023-01-27,53.8,107.7,19.4,67.1,38.4
2023-02-27,42.4,107.7,19.4,58,29.3
2023-03-27,39.5,107.7,19.4,53.3,21
2023-04-27,43.8,107.7,19.4,60,27.1
2023-05-27,55.1,107.7,19.4,69.1,37
2023-06-27,68.1,107.7,19.4,75.6,46.4
2023-07-27,81.5,107.7,19.4,81.1,53.6
2023-08-27,94.2,107.7,19.4,88.4,62
2023-09-27,105,107.7,19.4,89.4,67.8
2023-10-27,107.7,107.7,19.4,91,69.9
2023-11-27,103.4,107.7,19.4,87.7,61.4
2023-12-27,93.7,107.7,19.4,82,51.1
2023-01-28,70.5,107.7,19.4,67.1,38.4
2023-02-28,52.8,107.7,19.4,58,29.3
2023-03-28,45.3,107.7,19.4,53.3,21
2023-04-28,49.4,107.7,19.4,60,27.1
2023-05-28,60.4,107.7,19.4,69.1,37
2023-06-28,72.5,107.7,19.4,75.6,46.4
2023-07-28,84.7,107.7,19.4,81.1,53.6
2023-08-28,96,107.7,19.4,88.4,62
2023-09-28,104.9,107.7,19.4,89.4,67.8
2023-10-28,107.7,107.7,19.4,91,69.9
2023-11-28,98.5,107.7,19.4,87.7,61.4
2023-12-28,80.3,107.7,19.4,82,51.1
2023-01-29,63.4,107.7,19.4,67.1,38.4
2029-02-01,50.3,107.7,19.4,58,29.3
2023-03-29,46.8,107.7,19.4,53.3,21
2023-04-29,50.5,107.7,19.4,60,27.1
2023-05-29,61.1,107.7,19.4,69.1,37
2023-06-29,72.8,107.7,19.4,75.6,46.4
2023-07-29,84.1,107.7,19.4,81.1,53.6
2023-08-29,94.6,107.7,19.4,88.4,62
2023-09-29,103.2,107.7,19.4,89.4,67.8
2023-10-29,107.7,107.7,19.4,91,69.9
2023-11-29,100.5,107.7,19.4,87.7,61.4
2023-12-29,87.3,107.7,19.4,82,51.1
2023-01-30,69.5,107.7,19.4,67.1,38.4
1930-02-01,55.2,107.7,19.4,58,29.3
2023-03-30,51.8,107.7,19.4,53.3,21
2023-04-30,55.5,107.7,19.4,60,27.1
2023-05-30,65.9,107.7,19.4,69.1,37
2023-06-30,77.4,107.7,19.4,75.6,46.4
2023-07-30,89.2,107.7,19.4,81.1,53.6
2023-08-30,100.1,107.7,19.4,88.4,62
2023-09-30,107.7,107.7,19.4,89.4,67.8
2023-10-30,107.7,107.7,19.4,91,69.9
2023-11-30,100.5,107.7,19.4,87.7,61.4
2023-12-30,87.1,107.7,19.4,82,51.1
